AVAILABILITY	COUNT	NORMALIZED_VALUE	REMARKS																		
"License Agreement for the \Huge German Corpus (HGC)"" This agreement is made between - Universit�t Stuttgart Institut f�r maschinelle Sprachverarbeitung - Computerlinguistik - Pfaffenwaldring 5b D 70569 Stuttgart, Germany Contact: clarin@ims.uni-stuttgart.de Contact person: Dr. Heike Zinsmeister hereinafter referred to as the Licensor - Institute: Address: Represented by: Contact person: (email: ) duly authorised to sign this Agreement, hereinafter referred to as the User This agreement is made and enters into force as of ................................. (date). 1 Product This agreement relates to the \Huge German Corpus (HGC)"", a collection of German Newspaper texts, hereinafter referred to as the Product. The corpus is partly based on data taken from the European Corpus Initiative Multilingual Corpus I (ECI/MCI). The HCG currently comprises approximately 204 million tokens. It is automatically preprocessed in terms of segmentation, lemmatization, and part-of-speech annotation. Furthermore, it is indexed for use in the IMS Corpus Workbench (CWB). 2 Academic Research License 1. Licensor grants User a non-exclusive license to use the Product for the purpose of non-commercial, non-profit research by User for any research project conducted on the premises of User. 2. User agrees to acknowledge the use of the Product in all publications reporting on results produced with the help of the Product by referring to the landing page of the Product or Fitschen (2004, p. 8): - HGC landing page: http://www.ims.uni-stuttgart.de/forschung/ressourcen/korpora/hgc.en.html - Fitschen, Arne. 2004. Ein Computerlinguistisches Lexikon als komplexes System. Doctoral Thesis. University of Stuttgart. Published as AIMS 10 3). 3. User agrees to quote at most individual sample sentences of the original texts. User may not cite longer sequences of sentences. 4. User agrees not to redistribute nor to sublicense the Product in whole nor in part. 3 Non-Disclosure 1. User will not make the Product available to any third party. 2. User will use all reasonable efforts to ensure that no persons or institutions other than persons that are in the institute of User will get access to the Product. Other persons or institutions desiring to use the Product should be directed to Licensor to obtain separate license agreements. 3. User will use all reasonable efforts, at least as great as the precautions it takes to protect its own information, to prevent inadvertent disclosure of the Product to any third party. 4 Disclaimer 1. Licensor hereby informs User that the distributed version of the Product is work in progress and that, despite care and effort spent by Licensor on the pre-processing of the Product, the Product may still contain errors. 2. The Product is provided to User as-is, without any warranty and without any guarantee of its usability. 3. Licensor shall not be held liable for any consequences that arise from defects in the Product. 5 Agreement 1. This Agreement constitutes the complete agreement between Licensor and User, and it supersedes any prior agreements between them that concern the the Product. 2. This Agreement shall be construed in accordance with German law; disputes shall be adjudicated or otherwise decided in the courts of Stuttgart, Germany. 3. If any provision of this Agreement is held by a court of competent jurisdiction to be unenforceable, all other provisions hereof shall remain in full force and effect, and be interpreted to the extent possible consistent with the intent of the parties expressed by this Agreement. 6 Termination 1. Licensor may terminate the agreement forthwith if the User commits any material breach of this agreement or if the copyright holder raises an objection against the terms of the license agreement. 2. User may terminate this agreement within 30 days of written notice. On termination howsoever caused, User shall erase all copies of the Product. 7 Fee This license is granted by Licensor to User free of charge. 8 Acknowledgement Part of the raw text as used in the Product is based on the European Corpus Initiative Multilingual Corpus I (ECI/MCI), which is copyrighted by the Association for Computational Linguistics (ACL) on behalf of the European Corpus Initiative (ECI): ELSNET/CLARIN Trans 10 3512 JK Utrecht The Netherlands URL: http://www.elsnet.org/eci.html Signatures For the Licensor: Done at Stuttgart, on .............................. By (name): Prof. Dr. Jonas Kuhn Title: Director IMS-GCL Signature: .............................. For the User: Done at ..................., on ................... By (name): .............................. Title: .............................. Signature: .............................."	1																				
"License Agreement for the TIGER Corpus for non-commercial use Universit�t Stuttgart, Institut f�r Maschinelle Sprachverarbeitung Prof. Dr. Jonas Kuhn Pfaffenwaldring 5b, D-70569 Stuttgart, Germany Universit�t Potsdam, Institut f�r Germanistik Postfach 601553, D-14415 Potsdam, Germany Universit�t des Saarlandes, FR 4.7 Computerlinguistik Lehrstuhl Prof. Dr. Hans Uszkoreit Postfach 151150, D-66041 Saarbr�cken, Germany (""Licenser"") and ""Licensee"" agree as follows 1. Status of Licensee Licensee confirmes that Licensee is (part of) an academic or educational institution. 2. Product The TIGER Treebank, consists of approximately 900,000 tokens (50,000 sentences) of German newspaper text, taken from the Frankfurter Rundschau. The corpus was annotated with parts-of-speech and syntactic structures in the project TIGER (DFG) in Potsdam, Saarbr�cken and Stuttgart. Copyright of different parts of the TIGER Treebank is to: Universit�t Potsdam, Institut f�r Germanistik Universit�t des Saarlandes, FR 4.7 Computerlinguistik Universit�t Stuttgart, Institut f�r Maschinelle Sprachverarbeitung for all part-of-speech and structural annotations, and corpus documentation. The TIGER Treebank includes third party data as listed in the Appendix. Licenser and Licensee recognize that the copyrights of these data belong to the respective organisation, as mentioned in the Appendix. 3. License Licenser grants Licensee a non-exclusive license to use the TIGER Treebank. Licensee agrees to use the corpus only for non-commercial, non-profit research purposes; to make no changes to the corpus; and to acknowledge the use of the corpus in all publications reporting on results produced with the help of the TIGER Treebank. Use of the corpus or use of data derived from the corpus for any commercial purposes requires explicit written agreement of Licenser. Licenser and Licensee recognize that the copyrights of the third party data belong to the respective organisation, as mentioned in the Appendix. 4. Non-Disclosure The TIGER Treebank and its documentation will be held in confidence by Licensee and will not be disclosed by Licensee to third parties, except for those parts of the corpus or its documentation that are explicitly marked for public use, and except for example sentences in scientific publications. Licensee shall and will employ all necessary precautions to ensure that no persons or institutions other than persons as are in the employ of Licensee or in the same research project as Licensee will get access to the TIGER Treebank or parts thereof. Other persons or institutions desiring access to the corpus should be directed to Licenser to obtain separate licence agreements. 5. Commencement and Duration This Agreement will take effect from the date of signature and will continue until terminated either by Licensee or Licenser in accordance with Clause 6 below. 6. Termination Licenser may terminate the agreement forthwith if the Licensee commits any material breach of this agreement or if the copyright holder raises an objection against the terms of the license agreement. Licensee may terminate this agreement within 30 days of written notice. On termination howsoever caused, the Licensee shall erase all copies of the TIGER Treebank. 7. Fee This license is granted by Licenser to Licensee free of charge. 8. Disclaimer This license is granted under the premise that the copyright holder of the raw data accepts the terms of the license agreement. If the copyright holder raises an objection against the terms of the license agreement, lincenser may terminate the agreement and Licensee shall then erase all copies of the TIGER Treebank. The TIGER Treebank and its documentation is provided on an ``as is'' basis, with no guarantee of its veracity or accuracy. No liability is accepted for any damage caused by its use. Licenser hereby informs Licensee that, although large efforts were spent on removing annotation errors, some of them still remain in the corpus. Appendix: Acknowledgements The raw text of the Frankfurter Rundschau as used in the corpus is copyrighted by the Frankfurter Rundschau: Druck- und Verlagshaus Frankfurt am Main GmbH Verlag der Frankfurter Rundschau Gro�e Eschenheimer Stra�e 16-18 D-60313 Frankfurt am Main"	1																				
"mit Benutzerlizenz (Formular online zum Download); f�r nicht akademischen Gebrauch auf Anfrage bei Erhard Hinrichs"	2	"REG;REQ"																			
"mit Benutzerlizenz (Formular online zum Download); f�r nicht akademischen Gebrauch auf Anfrage bei Prof. Dr. Erhard Hinrichs"	1	"REG;REQ"																			
MSCommons-BY-NC-SA	1	PUB;BY;NC;SA																			
nor available	1	RES																			
not available	28	RES																			
Open	1	PUB																			
Open access	13	PUB																			
part is open	93																				
Public	27	PUB																			
"restricted; Free for academic use, but issues with the comic licenses may have to be dealt with."	1	ACA																			
"restricted; Free for academic use, copyright owned by Professor Svenka Savic, Novi Sad (Serbia)."	1	ACA																			
"restricted; free for academic, but not for commercial use."	1	ACA;NC																			
//test	1	--																			
This resource can be used online http://retro.dwds.de/?corpus=1&cc=OSTWEST	1	PUB																			
unknown	1																				
Unspecified	2602	undefined																			
unspecified	1	undefined																			
upon request	4	REQ																			
video not available, transcript only available	4																				
"with user license (license form online accessible); for non-academic use please contact Erhard Hinrichs"	1	"REG;REQ"																			
yes	1	PUC																			
